,birth,death,gender,hair,height,name,race,realm,spouse
368,"before ,TA 2860",,Female,,,Druda Burrows Boffin,Hobbits,,Rollo Boffin
369,TA 2950,,Female,,,Daisy (Baggins) Boffin,Hobbits,,Griffo Boffin
370,"Late ,Third Age","Late ,Third Age",Male,,,Buffo Boffin,Hobbits,,Ivy Goodenough
371,,,,,,Briffo Boffin,Unknown,,
372,TA 2767,TA 2858,Male,,,Bosco Boffin,Hobbits,,Unnamed wife
373,TA 2769,,Male,,,Basso Boffin,Hobbits,,None
374,TA 2856,TA 2948,Female,,,Donnamira (Took) Boffin,Hobbits,,Hugo Boffin
375,,,,,,Bodruith,Unknown,,
376,"Late ,Third Age","Early ,Fourth Age",Male,,,Bob,Hobbits,,
377,TA 1560,"Sometime after ,TA 1601",Male,,,Blanco,Hobbits,,
378,,Late Third Age ,Male,,,Bladorthin,Men,"Lake-town,Dale,Rhûn,Dorwinion",
379,"Late ,Third Age","March 15 ,3019",Male,,,Black Serpent,Men,,
380,,,,,,Bilbo Gardner,Unknown,,
381,"22 September ,TA 2890","Unknown (Last sighting 29 SeptemberTA 3021,) (,SR 1421,)",Male,"Brown, later white","1.25m (4'1"")",Bilbo Baggins,Hobbits,,None
382,TA 2814,UnknownFourth Age,Male,Black/ Grey (film),"4'5"" (film)",Bifur,Dwarves,,
383,"Early  ,Third Age",,Female,,,Berúthiel,Men,Gondor,Tarannon Falastur
384,TA 3009,,Male,,,Bergil,Men,,
385,TA 2655,TA 2763,Male,,,Beren (Steward),Men,,Unnamed wife
386,FA 432,FA 466,Male,Dark,Tall,Beren,Men,,Lúthien Tinúviel
387,"Early ,Fourth Age",,Male,,,Berelach,Men,,
388,"Mid ,First Age",,Male,,,Beren (Belemir's son),Men,,Unnamed wife
389,TA 2837,,Male,,,Nori,Dwarves,,
390,SA 222,"Early ,Second Age",Male,,,Nolondil,Men,,Unnamed wife
391,"Late ,Third Age",,Male,,,Nob,Hobbits,,
392,FA 473,FA 499,Female,Golden,Tall,Niënor,Men,,Túrin Turambar
393,SR 1261,,Female,,,Nina Lightfoot,Hobbits,Shire,Theobald Bolger
394,YT,TA 1981,Female,Possibly golden,,Nimrodel,Elves,,"Loved ,Amroth"
395,"Unknown, possibly sometime during the ,Years of the Trees",FA 506,Female,,,Nimloth (elf),Elves,Doriath,Dior Eluchíl
396,"Before the creation of ,Arda",Immortal,Female,,,Nienna,Ainur,"Valinor,Halls of Nienna",None
397,unknown,Immortal,Female,,Various,Nielíqui,Ainur,,None
398,SA 840,"Mid ,Second Age",Female,,,Nessanië,Men,,
399,"Before the creation of ,Arda",Immortal,Female,,Varies,Nessa,Ainur,Valinor,Tulkas
400,"YT, during the ,Noontide of Valinor",Still alive,Female,Reddish brown,,Nerdanel,Elves,,Fëanor
401,,,Female,,,Nellas,Elves,,None
402,,,,,,Nauglath,Unknown,,
403,,,,,,Narvi,Unknown,,
404,,FA 503,Male,,,Naugladur,Dwarves,,
405,TA 1684,TA 1856,Male,,,Narmacil II,Men,,Unnamed wife
406,TA 1049,TA 1294,Male,,,Narmacil I,Men,Gondor,"Unknown, possibly none as he had no children"
407,,,,,,Nahar,Other,,
408,,,,,,Mûmakil,Unknown,,
409,"Early ,First Age",FA 502,Male,,,Mîm,Dwarves,,Unnamed wife
410,,"March ,3019",Male,,,Muzgash,Orcs,,
411,,YT 1170,Female,Silver,,Míriel,Elves,,Finwë
412,First Age,"Probably died on ,March 25TA 3019, during destruction of ,Mordor",Male,Most likely black or none,"6' 7"" (2.01 m)",Mouth of Sauron,Men,,None
413,,,,,,The Moth,Unknown,,
414,"Perhaps ,Firstborn",,,,,Morwë,Elves,,
415,"Late 26th century ,Third Age","Late ,Third Age",Female,,,Morwen (Gondor),Men,,Unnamed husband
416,FA 443,FA 500,Female,"Dark, grey in old age",Tall,Morwen,Men,,Húrin Thalion
417,,,Female,,,Mithrellas,Elves,,Imrazôr
418,,,,,,Minastan,Unknown,,
419,TA 1454,TA 1634,Male,,,Minardil,Men,Gondor,Unnamed wife
420,"Mid ,Third Age","July 13 ,1944",Male,,,Minohtar,Men,,
421,SR 1381,"Early-,Fourth Age",Male,,,Merimas Brandybuck,Hobbits,,
422,YT,"Unknown, presumably still alive",Female,,,Meril-i-Turinqi,Elves,Tol Eressëa,
423,,,Male,,,Meneldor,Other,,
424,SA 3318,TA 158,Male,,,Meneldil,Men,Gondor,Unnamed wife
425,,,,,,Men,Unknown,,
426,"Before the creation of ,Arda",Immortal,Male,Dark,Any size by choice,Melkor,Ainur,"Utumno,Angband,Middle-earth,Beleriand",
427,"Before the creation of ,Arda","Did not die being a ,Maia returned to ,Valinor, after the death of her husband Thingol",Female,Dark,,Melian,Ainur,Doriath,Thingol
428,Around FA 450 ,,Female,,,Meleth,Men,,Agathor
429,3019,"February 29 ,3019",Male,Black (film),,Mauhúr,Other,"Isengard,Saruman",none
430,TA 2890,TA 2941,Male,Auburn (film),"Tall (6'4"")",Master of Laketown,Men,Lake-town,
431,SR 1182,,Male,,,Marroc Brandybuck,Hobbits,,Unnamed wife
432,SR 1343,,Male,,,Marmadas Brandybuck,Hobbits,,Unnamed wife
433,"Mid-,Third Age",Mid-Third Age ,Male,,,Marhwini,Men,,Unnamed wife
434,"Mid ,Third Age",TA 1856,Male,,,Marhari,Men,,Unnamed wife
435,TA 1557,"Sometime after ,TA 1601",Male,,,Marcho,Hobbits,,
436,TA 1960,TA 2080,Male,,,Mardil Voronwë,Men,,Unnamed wife
437,FA 282,FA 376,Male,,,Marach,Men,,Unnamed wife
438,Before the Creation of Arda,Immortal,Male,,,Manwë,Ainur,"Arda,Valinor",Varda
439,"After ,SA 61","Early ,Second Age",Male,,,Manwendil,Men,,Possible unnamed wife
440,"Late ,First Age",Late First Age ,Male,,,Manthor,Men,,
441,Before the creation of Arda,,Male,,,Mandos,Ainur,,Vairë
442,TA 2940,TA 3015,Male,,,Gálmód,Men,,Unnamed wife
443,"Unknown, possibly during the ,First Age",FA 495,Male,Became grey in captivity,,Gwindor,Elves,,"None, betrothed to ,Finduilas"
444,,,Male,,,Gwaihir,Other,,
445,"Late ,Third Age","March 15 ,3019",Male,Blond,,Guthláf,Men,,
446,"Mid ,First Age",FA 456,Male,,,Gundor,Men,,
447,,,Male,,,Guilin,Elves,,Unnamed wife
448,TA 2563,TA 2805,Male,,,Grór,Dwarves,,Unnamed wife
449,TA 2671,TA 2923,Male,,,Gróin,Dwarves,,Unnamed wife
450,"Mid ,First Age",FA 474,Male,,,Grithnir,Men,,
451,,"February 29 ,3019",Male,,,Grishnákh,Orcs,,
452,"Late ,Third Age","March 15 ,3019",Male,,,Grimbold,Men,,
453,"Unknown, probably several years or so after the ,Battle of Five Armies","Unknown, early ,Fourth Age",Male,Dark,Tall (in Man-form),Grimbeorn,Men,,
454,TA 2862,,Female,,,Rose Greenhand,Hobbits,,Cotman Cotton
455,TA 2810,,Male,,,Holman Greenhand,Hobbits,,
456,TA 2859,,Male,,,Hending Greenhand,Hobbits,,
457,TA 2851,,Male,,,Halfred Greenhand,Hobbits,,
458,TA 2854,,Male,,,Erling Greenhand,Hobbits,,
459,,"July ,2941",Male,Grey/white strands of hair (film),About nine feet (film),Great Goblin,Orcs,,
460,"Late ,First Age",FA 460,Male,,,Gorlim,Men,,Eilinel
461,TA 2668,TA 2741,Male,,,Gram,Men,Rohan,Unnamed wife
462,,"March 15, 3019 (film)",Male,"white/gray, possibly light brown (film)","5'9"" - 6'4"" (film)",Gothmog (Lieutenant of Morgul),Orcs,"Minas Morgul,the Witch-King",None
463,"Before the creation of ,Arda",FA 510,Male,,,Gothmog,Maiar,,
464,,,Male,,,Gostir,Dragons,,
465,SR 1134,SR 1236,Male,,,"Gormadoc ""Deepdelver"" Brandybuck",Hobbits,Buckland,Malva Headstrong
466,TA 2274,,Male,,,Gorhendad (Oldbuck) Brandybuck,Hobbits,,Unnamed wife
467,,,,,,Gorgol,Unknown,,
468,TA 2908,"Before ,TA 3001",Male,,,Gorbulas Brandybuck,Hobbits,,Unnamed wife
469,,"March 14 ,3019, slain by ,Shagrat",Male,black,medium,Gorbag,Other,Cirith Ungol,
470,,,,,,Bell (Goodchild) Gamgee,Unknown,,
471,,,,,,Togo Goodbody,Unknown,,
472,,,,,,Lily (Baggins) Goodbody,Unknown,,
473,TA 2430,"March 25 ,3019",Male,,,Gollum,Hobbits,,
474,"Unknown, before ,TA 2700",TA 2747,Male,,,Golfimbul,Orcs,Mount Gram,None
475,,,Female,,,Hanna (Goldworthy) Brandybuck,Hobbits,,Madoc Brandybuck
476,TA 2619,TA 2699,Male,,,Goldwine,Men,Rohan,
477,,,,,,Goldilocks (Gardner) Took,Unknown,,
478,"Late ,Third Age",,Male,,,Golasgil,Men,,
479,"Late ,Third Age","Presumably sometime after ,TA 3019",Male,,,Harry Goatleaf,Men,,
480,FA 415,FA 473,Female,Blonde,,Glóredhel,Men,,Haldir
481,TA 2136,TA 2385,Male,,,Glóin (King of Durin's Folk),Dwarves,Grey Mountains,Unnamed wife
482,TA 2783,FO 15,Male,"Red, later White",,Glóin,Dwarves,,Unnamed wife
483,"Late ,Third Age",,Male,,,Gléowine,Men,,
484,"Possibly ,YT",FA 510,Male,Golden,Tall,Glorfindel,Elves,,None
485,"Unknown, late fifth or sixth century ,First Age",,Male,,,Glirhuin,Men,,
486,Presumably after Morgoth's return to Angband,FA 501,Male,None,Gigantic,Glaurung,Dragons,,None
487,TA 2732,TA 2770,Male,,,Girion,Men,,Unnamed wife
488,,,,,,Gimli (Elf),Unknown,,
489,TA 2879,"Unknown (Departed to ,Aman ,FO 120,)",Male,Auburn,,Gimli,Dwarves,,
490,SA 2630,,Male,,,Gimilzagar,Men,,
491,SA 3044,SA 3243,Male,,,Gimilkhâd,Men,,Unnamed wife
492,TA 2907,TA 3007,Female,Blonde (film),"Unknown (book) 1.66m (5'5"") (film)",Gilraen,Men,,Arathorn II
493,TA 2000,,Female,,,Gilmith,Half-elven,,
494,,Presumably still alive,Male,,,Gilfanon,Elves,,
495,,Possible sailed West,Male,Golden,,Gildor Inglorion,Elves,,
496,"Late ,First Age",FA 460,Male,,,Gildor (Edain),Men,,
497,FA 450,SA 3441,Male,Possibly golden (book) Dark brown (movie),Tall,Gil-galad,Elves,"Havens of Sirion,Lindon",
498,First Age,,Female,,,Gildis,Men,,"Hador, Lórindol"
499,"Late ,Third Age",,Male,Black,Short,Ghân-buri-Ghân,Other,,
500,,,Male,,,Gelmir (of Angrod's kin),Elves,,
501,,,,,,Robin Gardner,Unknown,,
502,,,,,,Primrose Gardner,Unknown,,
503,"Mid ,First Age",,Male,,,Gethron,Men,,
504,,FA 473,Male,,,Gelmir,Elves,,
505,,,,,,Pippin Gamgee,Unknown,,
506,,,,,,Wilcome Cotton,Unknown,,
507,TA 2941,FO 20,Male,,,Tolman Cotton,Hobbits,,Lily Brown
508,TA 2984,FO 61,Female,Light brown (film),,Rosie Cotton,Hobbits,,Sam Gamgee
509,TA 2983,,Female,,,Marigold (Gamgee) Cotton,Hobbits,,Tolman Cotton
510,"Late ,Third Age",,Female,,,Lily Cotton,Hobbits,,Farmer Cotton
511,,,,,,Carl Cotton,Unknown,,
512,TA 2886,,Male,,,Bowman Cotton,Hobbits,,None
513,TA 2980,FO 60,Male,,,Tolman Cotton Jr.,Hobbits,,Marigold Cotton
514,,,,,,Cottar,Unknown,,
515,,,,,,Cora Goodbody,Unknown,,
516,SA 3379,TA 2,Male,,,Ciryon,Men,,"Unknown, possibly known"
517,"Mid ,Second Age","After ,SA 1700",Male,Black,Tall,Ciryatur,Men,,
518,TA 820,TA 1015,Male,,,Ciryandil,Men,Gondor,Unnamed wife
519,TA 2449,TA 2567,Male,,,Cirion,Men,,Unnamed wife
520,,,,,,Poppy (Chubb-Baggins) Bolger,Unknown,,
521,TA 2903,TA 2999,Male,,,Falco Chubb-Baggins,Hobbits,,Unnamed wife
522,"Late ,Third Age",,Male,,,Ceorl,Men,,
523,SA 575,,Male,,,Cemendur (son of Axantur),Men,,Unnamed wife
524,SA 3399,TA 238,Male,,,Cemendur,Men,Gondor,Unnamed wife
525,TA 979,TA 1191,Male,,,Celepharn,Men,Arthedain,Unnamed wife
526,"During in the ,Noontide of Valinor",FA 506,Male,Fair,,Celegorm,Elves,,None
527,"Between the years ,SA 350, and SA 400","Still alive; Departed to ,Aman, in ,TA 2510",Female,Possibly silver,,Celebrían,Elves,,Elrond
528,TA 1062,TA 1272,Male,,,Celebrindor,Men,Arthedain,Unnamed wife
529,YT,"SA 1697 ,War of the Elves and Sauron",Male,Dark,,Celebrimbor,Elves,Eregion,
530,YT,"Still alive, departed over the sea in the early Fourth Age",Male,Silver,Tall,Celeborn,Elves,"Eregion,Lothlórien,Caras Galadhon",Galadriel
531,TA 1259,TA 1447,Male,,,Castamir the Usurper,Men,Gondor,Unnamed wife
532,"Before the Creation of ,Arda",FA 466,Male,Black with red stripes,Gigantic,Carcharoth,Other,Angband,
533,,,,,,Carc,Unknown,,
534,"During the ,Noontide of Valinor",FA 506,Male,Dark,,Caranthir,Elves,,Unnamed wife
535,TA 1058,TA 1304,Male,,,Calmacil,Men,Gondor,Unnamed wife
536,SA 512,SA 900,Male,,,Caliondo,Men,,Unnamed wife
537,,,,,,Calimmacil,Unknown,,
538,TA 1736,TA 1936,Male,,,Calimehtar,Men,Gondor,Unnamed wife
539,"Late ,First Age",FA 473,Male,,,Bór,Men,,Unnamed wife
540,FA 262,FA 355,Male,,,Bëor,Men,,Unnamed wife
541,"Late ,Third Age","Early ,Fourth Age",Male,Brown (movie),,Barliman Butterbur,Men,,
542,,,,,,Myrtle Burrows,Unknown,,
543,,,,,,Mosco Burrows,Unknown,,
544,TA 2974,"November 3 ,3019",Male,Black,,Gríma Wormtongue,Men,,
545,"Mid-,Second Age","March 15 ,3019",Male,"Brown, graying, later white","7' 1"" (2.13 metres)",Witch-king of Angmar,Men,"Angmar,Minas Morgul,Osgiliath",
546,TA 2800,,Male,,,Wiseman Gamwich,Hobbits,,Unnamed wife
547,"Late ,Third Age","Early ,TA 3019",Male,,,Willie Banks,Hobbits,Bree,
548,,,,,,Wife of Barach,Unknown,,
549,,,,,,Widow Rumble,Unknown,,
550,,,,,,Will Whitfoot,Unknown,,
551,Possibly pre First Age,Unknown; possibly still alive,Most likely male,None,Huge,Watcher in the Water,Other,Doors of Durin,Most likely none
552,,,,,,Warg Matriarch,Unknown,,
553,TA 2780,TA 2851,Male,,,Walda,Men,,Unnamed wife
554,SA 425,"Early ,Second Age",Male,,,Vëantur,Men,,Unnamed wife
555,,,,,,Vëannë,Unknown,,
556,First Age,,Male,,,Voronwë,Elves,,None known
557,TA 1919,TA 2029,Male,,,Vorondil,Men,,Unnamed wife
558,"Before ,TA 1255",TA 1344,Female,,,Vidumavi,Men,,Valacar
559,"Mid-,Third Age",,Male,,,Vidugavia,Men,Rhovanion,Unnamed wife
560,SA 203,"Early ,Second Age",Female,,,Vardilmë,Men,,
561,SA 61,SA 471,Male,,,Vardamir Nólimon,Men,Númenor,Unnamed wife
562,Before the creation of Arda,Immortal,Female,,,Varda,Ainur,Arda,Manwë
563,TA 462,TA 652,Male,,,Valandur,Men,Arnor,Unnamed wife
564,"Early ,Second Age","Early ,Second Age",Male,,,Valandil of Andúnië,Men,,
565,SA 3430,TA 249,Male,,,Valandil,Men,Arnor,Unnamed wife
566,TA 1194,TA 1432,Male,,,Valacar,Men,Gondor,Vidumavi
567,YT,,Female,,,Vairë (Elf),Elves,,Lindo
568,Before the creation of Arda,Immortal,Female,,,Vairë,Ainur,"Valinor,Halls of Mandos",Mandos
569,"Late ,First Age",FA 460,Male,,,Urthel,Men,,
570,,"Possibly end of ,First Age",Female,,Enormous,Ungoliant,Other,,
571,"Mid ,First Age",FA 473,Male,,,Ulwarth,Men,,
572,,,,,,Ulrad,Unknown,,
573,"Before the creation of ,Arda",Immortal,Male,,,Ulmo,Ainur,"Valinor,Ulmonan",None
574,"Mid ,First Age",FA 473,Male,,,Ulfast,Men,,
575,"Late ,First Age",FA 473,Male,,,Ulfang,Men,,Unnamed wife
576,"Mid ,First Age",FA 473,Male,,,Uldor,Men,,
577,"Early ,Second Age",Mid Second Age ,Male,,,Ulbar,Men,,Unnamed wife
578,"Before the creation of ,Arda",Immortal,Female,,,Uinen,Unknown,,Ossë
579,3019,February 293019,Male,Dark (movie),"6' 6"" (movie)",Uglúk,Other,Isengard,None
580,,3019,Male,,,Ufthak,Orcs,Cirith Ungol,None
581,TA 2815,TA 2914,Male,,,Túrin II,Men,,Unnamed wife
582,TA 2165,TA 2278,Male,,,Túrin I,Men,,Unnamed wife
583,FA 464,FA 499,Male,Dark,Tall,Túrin,Men,,Nienor
584,,,,,,Daddy Twofoot,Unknown,,
585,TA 2855,TA 2953,Male,,,Turgon (Steward),Men,,Unnamed wife
586,YT 1300,FA 510,Male,Dark,,Turgon,Elves,"Nevrast,Gondolin",Elenwë
587,TA 397,TA 667,Male,,,Turambar,Men,Gondor,Unnamed wife
588,FA 472,None; sailed into the West and was accounted amongst the Eldar,Male,Golden,Tall,Tuor,Men,,Idril Celebrindal
589,YT,,Male,,,Tulkastor,Elves,,Unnamed wife
590,"Before the creation of ,Arda",Immortal,Male,Golden,,Tulkas,Ainur,"Valinor,House of Tulkas",Nessa
591,YT,,Male,"Leaf, twig and moss like",15'4,Treebeard,Other,,Fimbrethil
592,TA 2890,TA 2981,Male,,,Sigismond Took,Hobbits,,Unnamed wife
593,SR 1256,,Female,,,Rosa (Baggins) Took,Hobbits,,Hildigrim Took
594,TA 2976,Fourth Age,Male,,,Beregond (Captain),Men,,Unnamed wife
595,TA 2700,TA 2811,Male,,,Beregond,Men,,Unnamed wife
596,FA 340,,Male,,,Bereg,Men,,
597,,"Before the ,War of the Ring",Male,Black,Tall,Beorn,Other,,
598,FA 292,,Male,,,Belen,Men,,Unnamed wife
599,FA 339,,Male,,,Belemir,Men,,Adanel
600,"Late ,First Age",FA 460,Male,,,Belegund,Men,,Unnamed wife
601,TA 2074,TA 2204,Male,,,Belegorn,Men,,Unnamed wife
602,TA 811,TA 1029,Male,,,Beleg of Arnor,Men,"Arnor,Arthedain",Unnamed wife
603,,FA 489,Male,,,Beleg,Elves,,
604,TA 2752,TA 2872,Male,,,Belecthor II,Men,,Unnamed wife
605,TA 2545,TA 2655,Male,,,Belecthor I,Men,,Unnamed wife
606,"Mid-,First Age",,Female,Brown,,Beldis,Men,,Handir
607,FA 316,,Male,,,Beldir,Men,,Unnamed wife
608,,"March 3 ,3019",Male,Leafy-hair,Very tall,Beechbone,Other,,
609,TA 2985,"Early ,Fourth Age",Male,,"6'2""",Bard II,Men,"Dale,Lake-town",
610,TA 2898,TA 2977,Male,Black (films),,Bard,Men,Dale,Unnamed wife
611,FA 317,,Male,,,Baranor,Men,,Unnamed wife
612,FA 289,FA 380,Male,,,Baran,Men,Estolad,Unnamed wife
613,TA 2290,TA 2412,Male,,,Barahir (Steward),Men,Gondor,Unnamed wife
614,,,,,,Barahir (Fourth Age),Unknown,,
615,FA 402,FA 460,Male,Possibly dark,,Barahir,Men,,Emeldir
616,FA 420,FA 460,Male,,,Baragund,Men,,Unnamed wife
617,TA 2763,TA 2994,Male,White,,Balin,Dwarves,,
618,,,,,,Baldor,Unknown,,
619,,,,,,Balcmeg,Unknown,,
620,TA 2925,TA 3007,Male,Brown (film),"1.76m / 5'9"" (film)",Bain,Men,Dale,Unnamed wife
621,,,,,,Ruby (Bolger) Baggins,Unknown,,
622,TA 2948,,Male,,,Porto Baggins,Hobbits,,
623,TA 2946,,Male,,,Ponto Baggins II,Hobbits,,Unnamed wife
624,,,,,,Ponto Baggins I,Unknown,,
625,TA 2816,TA 2911,Male,,,Ponto Baggins,Hobbits,,Mimosa Bunce
626,,,,,,Polo Baggins,Unknown,,
627,TA 2950,,Female,,,Peony (Baggins) Burrows,Hobbits,,Milo Burrows
628,,,,,,Pansy Baggins,Unknown,,
629,,,,,,Man in the Moon,Unknown,,
630,TA 1144,TA 1349,Male,,,Malvegil,Men,Arthedain,Unnamed wife
631,,,Female,,,"Malva ""Headstrong"" Brandybuck",Hobbits,,Gormadoc Brandybuck
632,TA 895,TA 1110,Male,,,Mallor,Men,"Arthedain,Arnor",Unnamed wife
633,"Mid ,Third Age",Mid Third Age ,Male,"Dark, later grey ",,Malbeth the Seer,Men,,"Unknown, possible none"
634,,,,,,Malantur,Unknown,,
635,,,,,,Mallor (BOH),Unknown,,
636,FA 307,FA 398,Male,,,Malach,Men,,Meldis
637,SA 377,,Female,,,Mairen,Men,,
638,UnknownYT,Still alive,Male,Brown with copperlike-red,,Mahtan,Elves,,Unnamed wife
639,F.A. 341,,Male,,,Magor,Men,,
640,"During the ,Noontide of Valinor",Fate unknown,Male,Dark,,Maglor,Elves,,Unnamed wife
641,TA 2948,,Male,Brown,,Farmer Maggot,Hobbits,,Unnamed wife
642,FA 320,FA 510,Male,Black,Tall,Maeglin,Elves,,None
643,"During the ,Noontide of Valinor",FA 587,Male,Dark red,Tall,Maedhros,Elves,,None
644,"Late ,Third Age",,Male,Dark,Tall,Mablung the Ranger,Men,,
645,,FA 502,Male,,,Mablung,Elves,,
646,YT 1200,FA 503,Female,Black,,Lúthien,Elves,,Beren Erchamion
647,"Late ,Third Age",TA 2994,Male,,,Lóni,Dwarves,,
648,TA 2752,TA 2842,Male,,,Brytta Léofa,Men,Rohan,Unnamed wife
649,TA 2459,TA 2501,Male,,,Léod,Men,,Unnamed wife
650,"Before the creation of ,Arda",First Age,Male,Mane of red flame,,Lungorthin,Other,,
651," ,3019",February 293019,Male,Dark,6'1 (film),Lugdush,Other,,
652,TA 2999,,Female,,,Lothíriel,Men,Rohan,omer
653,"Late ,First Age",Late First Age ,Male,,,Lorgan,Men,,
654,"Late ,Second Age",Late Second Age ,Female,,,Lindórië,Men,,Unknown husband
655,YT,,Male,,,Lindo,Elves,,Vairë
656,SA 551,,Female,,,Lindissë,Men,,
657,,"Possibly departed to ,Aman",Male,Brown (films),Tall,Lindir,Elves,,
658,SR 1313,Between SR 1401-1418,,,3'8',Letter 211,Unknown,,Lilah Took
659,YT,YT (possibly),Male,,,Lenwë,Elves,,Unnamed wife
660,,,Male,,,Legolas (elf of Gondolin),Elves,,
661,,"Still alive, departed to ,Aman ,FO 120",Male,"Uncertain (book), Blonde (films)",,Legolas,Elves,,
662,"Late ,First Age",,Male,,,Larnach,Men,,Unnamed wife
663,"Possibly ,First Age",Possibly still alive,Male,,,Landroval,Other,,
664,FA 466,FA 469,Female,Blonde,,Lalaith,Men,,
665,,,,,,Hamfast Gardner,Unknown,,
666,March 253021,"Early ,Fourth Age",Female,Blonde or Golden,,Elanor Gardner,Hobbits,,Fastred of Greenholm
667,Before the the Shaping of Arda,"January 253019 ,Battle of the Peak immortal",Male,"Grey, later white",,Gandalf,Maiar,,
668,"Possibly late ,Third Age",,Male,Possibly blond,,Gamling,Men,,
669,"April 6 ,2980","Still alive, after going to the ,Undying Lands, in ,FO 61",Male,Blond (movie),"1.22m (4'0"")",Samwise Gamgee,Hobbits,,Rosie Cotton
670,,,,,,Rose Gamgee,Unknown,,
671,,,,,,Gamil Zirak,Unknown,,
672,TA 2976,,Female,,,May Gamgee,Hobbits,,
673,TA 2965,,Male,,,Hamson Gamgee,Hobbits,,None
674,TA 2926,FO 7 (SR 1428),Male,"Brown, later gray","1.2m (3'11"")",Hamfast Gamgee,Hobbits,,Bell Goodchild
675,TA 2969,,Male,,,Halfred Gamgee,Hobbits,,
676,FO 2,FO ,Male,,,Frodo Gardner,Hobbits,,Unnamed wife
677,TA 2972,FO 54,Female,,,Daisy Gamgee I,Hobbits,,
678,,,,,,Bilbo Gamgee,Unknown,,
679,,,,,,Halfast Gamgee,Unknown,,
680,,,,,,Merry Gamgee,Unknown,,
681,,,Male,,,Galion,Elves,,
682,,,Male,,,Galdor of the Tree,Elves,,
683,,,Male,Golden (movie),6'3 (movie),Galdor of the Havens,Elves,,
684,FA 417,FA 462,Male,,Tall,Galdor,Men,,Hareth
685,,,,,,Galar,Unknown,,
686,YT 1362,"Still alive: Departed over the sea on ,September 29 ,3021",Female,Golden,Tall,Galadriel,Elves,"Eregion,Lothlórien,Caras Galadhon",Celeborn
687,,,Male,,,Galathil,Elves,,Unnamed Wife
688,TA 2004,TA 2129,Male,,,Galador,Half-elven,,Unnamed wife
689,,,,,,Fíriel Fairbairn,Unknown,,
690,TA 1896,,Female,,,Fíriel,Men,Arthedain,Arvedui
691,TA 2859,November 23TA 2941,Male,Yellow,,Fíli and Kíli,Dwarves,,None
692,YT 1169,YT 1497,Male,Raven,Tall,Fëanor,Elves,"Tirion,Formenos",Nerdanel
693,TA 2662,TA 2799,Male,,,Fundin,Dwarves,,Unnamed wife
694,,,,,,Fuithluin,Unknown,,
695,Second Age,,Male,,,Fuinur,Men,,
696,TA 2552,TA 2589,Male,,,Frór,Dwarves,,
697,TA 2594,TA 2680,Male,,,Fréawine,Men,Rohan,
698,TA 2726,TA 2798,Male,,,Fréaláf Hildeson,Men,Rohan,Unnamed wife
699,TA 2570,TA 2659,Male,,,Fréa,Men,Rohan,Unnamed wife
700,"Late ,Third Age",November 102994,Male,,,Frár,Dwarves,,
701,TA 1940,TA 2001,Male,,,Frumgar,Men,,Unnamed wife
702,TA 2751,TA 2799,Male,,,Frerin,Dwarves,,
703,TA 2698,TA 2754,Male,Dark,,Freca,Men,,Unnamed wife
704,TA 1967,"Unknown, sometime after ,TA 2000",Male,,,Fram,Men,,"Unknown, probably as he had descendants"
705,"Late ,First Age",Late First Age ,Male,Fair,,Forweg,Men,,"Unknown, probably none"
706,TA 2745,TA 2848,Male,,,Fortinbras Took I,Hobbits,,Unnamed wife
707,"Mid ,Third Age",TA 1944,Male,,,Forthwini,Men,,"Unknown, but possible since he had descendants"
708,"Late ,Third Age",TA 3019,Male,,,Forlong,Men,,unknown
709,TA 2830,TA 2903,Male,,,Folcwine,Men,Rohan,Unnamed wife
710,TA 2858,TA 2885,Male,,,Folcred,Men,,
711,TA 2804,TA 2864,Male,,,Folca,Men,,Unnamed wife
712,"Late ,Third Age",TA 2994,Male,,,Flói,Dwarves,,
713,,,,,,Fladrif,Unknown,,
714,,,,,,Moro Burrows,Unknown,,
715,TA 2996,,Male,,,Minto Burrows,Hobbits,,
716,SR 1347,,Male,,,Milo Burrows,Hobbits,,Peony Baggins
717,TA 1930,TA 2031,Male,,,Bucca of the Marish,Hobbits,,
718,,,,,,Broncho Stonecrow,Unknown,,
719,TA 2857,,Female,,,Sapphira (Brockhouse) Boffin,Hobbits,,Uffo Boffin
720,"Mid ,First Age",Late First Age ,Male,,,Bregor,Men,,Unnamed wife
721,TA 2913,TA 3012,Female,,,Asphodel (Brandybuck) Burrows,Hobbits,,Rufus Burrows
722,,,,,,Brodda,Unknown,,
723,"Late ,First Age",FA 455,Male,,,Bregolas,Men,,Unnamed wife
724,TA 2512,TA 2570,Male,,,Brego,Men,Rohan,Unnamed wife
725,TA 2519,,Male,Leafy-hair,,Bregalad,Other,,
726,,,,,,Salvia (Brandybuck) Bolger,Unknown,,
727,,,,,,Rorimac Brandybuck,Unknown,,
728,TA 2920,TA 2980,Female,,,Primula (Brandybuck) Baggins,Hobbits,,Drogo Baggins
729,TA 2860,TA 2960,Female,,,Mirabella (Took) Brandybuck,Hobbits,,Gorbadoc Brandybuck
730,TA 2948,,Male,,,Seredic Brandybuck,Hobbits,,Hilda Bracegirdle
731,,,,,,Merimac Brandybuck,Unknown,,
732,,,,,,Orgulas Brandybuck,Unknown,,
733,TA 2982,FO 65,Male,Golden yellow (film),"1.38m (4'6"")",Meriadoc Brandybuck,Hobbits,,Estella (Bolger) Brandybuck
